동호회명,시도명,시군구명,종목명,부종목명,장애유형명,운영시간내용,동호회 소개내용
발달장애인 검도교실,인천광역시,인천광역시 서구,검도,,발달(지적/자폐)장애,매주 목요일 오후 2시 30분,
밀알 유성검도동호회,대전광역시,대전광역시 동구,검도,레크리에이션,발달(지적/자폐)장애,"월,수 오후 1시 30분","안녕하십니까 사회복지법인 밀알 주간활동서비스 검도 동호회 클럽입니다. 매주 월, 수 오후 1시 30분에 진행하며, 유성에 위치한 유성검도관에서 진행됩니다."
두드림장애인검도클럽,경기도,경기도 동두천시,검도,,지체(척수 및 절단 및 기타)장애,매주  수  오후1시30분,
인천서구장애인검도동호인클럽,인천광역시,인천광역시 서구,검도,,발달(지적/자폐)장애,매주 화 오후4시,인천서구장애인검도동호인클럽은  경험하지 못한 검도 배우며 기초체력을 향상시키고 근력을 발달시키며 신체활동을       통하여 건강하게 스트레스를 해소한다.
창녕군화왕산장애인게이트볼,경상남도,경상남도 창녕군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 수.금 10시,
2023 전북장애인생활체육 게이트볼클럽(장수),전라북도,전라북도 장수군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주수,목 15:00~17:00",
(도비)2023년 수피아 게이트볼클럽,충청남도,충청남도 아산시,게이트볼,,발달(지적/자폐)장애,매주 월 10:30~11:30,
호연지기,경상남도,경상남도 거제시,게이트볼,기타,지체(척수 및 절단 및 기타)장애,매주 수요일  오후 2시,"장애인의 재활자립 의지를 도모하고 장애인생활체육의 중요성을 홍보함으로써 재가 장애인들의 참여를 활성화하여  고립되고 소외된 생활에서 벗어나 밝고 적극적인 참여자세를 유도하는 목적으로 클럽을 운영하고 있다.  또한  경상남도지사기 장애인게이트볼대회, 김해시장기배장애인게이트볼대회등 경남에서 실시하는 각종게이트볼대회에도 매년 참가하고 있다."
마산농아인게이트볼클럽,경상남도,경상남도 창원시,게이트볼,,청각장애,매주 월~금 오후 2시,
느티나무게이트볼동아리,경상남도,경상남도 김해시,게이트볼,,지체(척수 및 절단 및 기타)장애,매주월~토오후13~17,장애인비장애인 어울림으로 함께하는 동아리
(도비)데프게이트볼,충청남도,충청남도 청양군,게이트볼,,지체(척수 및 절단 및 기타)장애,"매주 목요일, 오후2시",
함안농게이트볼,경상남도,경상남도 함안군,게이트볼,,청각장애,매주 목요일 오후 2시,함안지역 농아인의 화합과 체육활동 참여를 통한 건강증진 및 건전한 여가 선용을 목표로 하는 클럽입니다.
SD-천지,제주특별자치도,제주특별자치도 서귀포시,게이트볼,,청각장애,목요일 12:30-14:30,
진농회게이트볼,경상남도,경상남도 진주시,게이트볼,,청각장애,매주 화 오전 10시,
군포시농아인게이트볼클럽,경기도,경기도 군포시,게이트볼,,청각장애,"매주 화,수 오후 2시",
보람게이트볼클럽,서울특별시,서울특별시 강북구,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토 14시,
토요애장애인게이트볼클럽,경상남도,경상남도 의령군,게이트볼,,지체(척수 및 절단 및 기타)장애,매주 토 오후1시반,◎게이트볼 동호인 참여로 게이트볼 생활 체육 활동진행  ◎지체장애인등 동호인 10명 매주 토요일 1회 수업진행  ◎선수 발굴 및 육성을 통해 각종 대회 참가
푸름회 게이트볼,경상남도,경상남도 창원시,게이트볼,,기타장애,"매 2,4주 화,목 오전",
진해벚꽃장애인게이트볼동우회,경상남도,경상남도 창원시진해구,게이트볼,골프,지체(척수 및 절단 및 기타)장애,매일 오전6시~오후6시,
2023전북장애인생활체육게이트볼클럽,전라북도,전라북도 김제시,게이트볼,,지체(척수 및 절단 및 기타)장애,목요일 10시-12시,
노원데프이글스클럽,서울특별시,서울특별시 노원구,게이트볼,,청각장애,"매주월~금,오전9시~12시","청각장애인을위한 여가활용,체력증진,대회출전과 인적교류를위한 클럽입니다."
