종목명,부종목명,시도명,시군구명,프로그램명,장애유형명,운영시간,프로그램소개내용,모집시작일,모집종료일,운영시작일,운영종료일
검도,,대전광역시,대전광역시 유성구,2023 이삭 검도,발달(지적/자폐)장애,월 15:00 ~ 16:00,,2023-04-10,2023-11-29,2023-04-10,2023-11-29
검도,,경기도,경기도 가평군,2023년 가평군 심신단련 검도교실,발달(지적/자폐)장애,금 10:00-12:00,,2023-02-01,2023-02-28,2023-03-10,2023-10-31
검도,,인천광역시,인천광역시 서구,발달장애인검도교실,발달(지적/자폐)장애,목 14:30~15:30,사업명: 2023년 발달장애인 검도교실  운영기관: 인천광역시서구장애인주간보호센터  장소: 대한검도회 연희검도관,2023-03-01,2023-06-01,2023-05-04,2023-11-30
검도,,대전광역시,대전광역시 동구,2023 대전광역시 검도교실,발달(지적/자폐)장애,수 18:00 ~ 19:00,,2023-05-03,2023-11-15,2023-05-03,2023-11-15
검도,,서울특별시,서울특별시 강서구,(지방비) 2023 강서구 지적장애  직장인교실 생활체육 검도교실,발달(지적/자폐)장애,수 14:00~15:00,,2023-03-21,2023-09-13,2023-04-05,2023-09-13
검도,,제주특별자치도,제주특별자치도 제주시,(지방비) 2023년 지적장애인검도교실,발달(지적/자폐)장애,매주 금요일 17:00~18:00,,2023-03-01,2023-11-30,2023-04-01,2023-11-30
검도,,경기도,경기도 포천시,(국비)곰두리 검도 교실,발달(지적/자폐)장애,매주 화요일 13:00~15:00,,2023-03-20,2023-03-30,2023-04-04,2023-10-31
검도,,인천광역시,인천광역시 서구,2023년 발달장애인검도교실,발달(지적/자폐)장애,목 14:30~15:30,주관처: 서구장애인주간보호센터,2023-03-01,2023-04-30,2023-06-01,2023-11-30
게이트볼,,대구광역시,대구광역시 동구,2023년 대구장애어르신게이트볼체육교실(안심복지관),지체(척수 및 절단 및 기타)장애,매주 화 14:00~16:00,안심복지관에서 운영하는 어르신게이트볼생활체육교실입니다.,2023-02-01,2023-02-01,2023-02-01,2023-02-01
게이트볼,,충청남도,충청남도 부여군,(기금)2023년 게이트볼교실,청각장애,매주 목요일 10:00,,2023-03-16,2023-10-19,2023-03-16,2023-10-19
게이트볼,,경기도,경기도 오산시,게이트볼교실,시각장애,매주 수 10시,,2023-03-01,2023-10-31,2023-04-01,2023-10-31
게이트볼,,경기도,경기도 파주시,파주시장애인게이트볼생활체육교실,지체(척수 및 절단 및 기타)장애,"매주 일, 오후2시~4시",,2023-04-01,2023-10-31,2023-04-01,2023-10-31
게이트볼,,경기도,경기도 구리시,구리시 게이트볼 교실,지체(척수 및 절단 및 기타)장애,목 10:00-12:00,,2023-02-01,2023-03-01,2023-03-01,2023-10-31
게이트볼,,경기도,경기도 양주시,양주시 시각게이트볼교실,시각장애,화 10:00~12:00,,2023-02-01,2023-03-31,2023-03-21,2023-10-31
게이트볼,,충청북도,충청북도 음성군,(도비) 2023 음성군장애인복지관 게이트볼교실,기타장애,수 13:00~15:00,,2023-03-01,2023-10-30,2023-03-01,2023-10-31
게이트볼,,경기도,경기도 동두천시,동두천시 장애인 게이트볼교실,기타장애,수요일 11:00~12:00,동두천시 장애인 게이트볼교실입니다.,2023-02-01,2023-03-31,2023-03-01,2023-12-30
게이트볼,,충청북도,충청북도 음성군,(도비) 2023 음성군 샛별게이트볼교실,지체(척수 및 절단 및 기타)장애,수13:00~17:00,,2023-03-02,2023-10-31,2023-03-02,2023-10-31
게이트볼,,경상북도,경상북도 안동시,노인정신장애인들의 체력증진을 위한 게이트볼 교실,기타장애,화 14:00 ~ 15:00,,2023-03-01,2023-03-31,2023-04-04,2023-10-31
게이트볼,,경기도,경기도 가평군,2023년 가평군 어울림 게이트볼교실,발달(지적/자폐)장애,화 14:00-16:00,,2023-02-01,2023-02-28,2023-03-07,2023-10-31
게이트볼,,전라북도,전라북도 남원시,2023 전북장애인생활체육 게이트볼교실(청각),청각장애,매주 토 오전10시,,2023-03-01,2023-04-30,2023-06-01,2023-11-30
게이트볼,,경기도,경기도 가평군,2023 가평군 시각장애인 게이트볼 교실,시각장애,수 14:00~16:00,,2023-02-01,2023-02-28,2023-03-08,2023-10-31
게이트볼,,충청북도,충청북도 괴산군,(도비) 2023 장애인생활체육 괴산 Deaf 게이트볼 교실,청각장애,"화,목 10:00~12:00",,2023-03-16,2023-03-31,2023-04-04,2023-09-14
게이트볼,,경기도,경기도 구리시,청각장애인게이트볼교실,청각장애,매주화요일 10:00~12:00,,2023-03-27,2023-08-31,2023-04-04,2023-09-26
게이트볼,,경기도,경기도 부천시,생활체육 게이트볼 교실,지체(척수 및 절단 및 기타)장애,매주 수요일 09:00~10:00,,2023-04-01,2023-10-01,2023-04-01,2023-11-30
