name,type,address,phone,agencyPhone,big,normal,small,disabilityFriendly
 남곡보건진료소,간이운동장, ,,054-420-7930,경상북도,김천시,,FALSE
 삼락동마을회관내,간이운동장, ,,054-420-8008,경상북도,김천시,,FALSE
(외립석입구),간이운동장, ,,054-420-8033,경상북도,김천시,,FALSE
(덕전3리) 세송,간이운동장,경상북도 김천시 대항면 덕전3길 82 맞은편,054-421-2165,054-420-8018,경상북도,김천시,덕전리,FALSE
(인의1리회관옆),간이운동장, ,,054-420-8034,경상북도,김천시,,FALSE
(자산경로당),간이운동장,경상북도 김천시 자산3길 16 (성내동) ,054-421-2318,054-420-8077,경상북도,김천시,성내동,FALSE
(합천마을) 향천2리,간이운동장, ,054-421-2165,054-420-8025,경상북도,김천시,향천리,FALSE
21세기 태권도,체육도장업,"경기도 안산시 상록구 부곡로 64, 2층 (부곡동) ",031-419-7987,,경기도,안산시,,FALSE
K-반월태권도장,체육도장업,"경기도 안산시 상록구 본오로 30, 2층 (본오동) ",031-409-6855,,경기도,안산시,,FALSE
개나리 공원 야외운동기구,간이운동장,경상북도 문경시 시청2길 21 (모전동) ,054-550-8884,054-550-6717,경상북도,문경시,모전동,FALSE
갬블당구장,당구장업,"경기도 안산시 단원구 고잔1길 52 (고잔동,3층) ",031-410-0814,,경기도,안산시,,FALSE
경희광덕태권도장,체육도장업,"경기도 안산시 상록구 광덕산1로 28, 1층 (월피동) ",,487-0637,경기도,안산시,,FALSE
경희대명문태권도,체육도장업,"경기도 안산시 단원구 선부로 163 (선부동,3층) ",031-405-4448,,경기도,안산시,,FALSE
경희대석사 장백태권도,체육도장업,"경기도 안산시 단원구 와동공원로 138 (와동,3층) ",031-413-8575,031-413-8575,경기도,안산시,,FALSE
경희대석사태권도,체육도장업,경기도 안산시 단원구 안산천남로 243 (고잔동) 201~204호(그린빌주공9단지아파트 상가동),,,경기도,안산시,고잔동,FALSE
경희대성호태권도장,체육도장업,"경기도 안산시 상록구 도매시장로 111, 5층 501호 (일동) 5층 501호 (일동)",031-416-0579,,경기도,안산시,,FALSE
경희태권도,체육도장업,경기도 안산시 상록구 성포로 30 (성포동) ,031-485-2002,031-485-2002,경기도,안산시,,FALSE
고려대최강태권도,체육도장업,경기도 안산시 상록구 본오로 106 (본오동) ,031-408-9913,,경기도,안산시,,FALSE
구슬치기당구장,당구장업,"경기도 안산시 상록구 선진4길 30, 4층 (사동) ",,,경기도,안산시,,FALSE
구야리 977 (166-11 맞은편),간이운동장,경상북도 김천시 감문면 구야1길 17-4 ,054-420-7928,054-420-7936,경상북도,김천시,구야리,FALSE
구천면 미천2리 동네체육시설,간이운동장, ,,054-830-6544,경상북도,의성군,,FALSE
국당마을 소공원,간이운동장,경상북도 경주시 황남동 483-3 ,054-779-8398,054-779-8398,경상북도,경주시,,FALSE
국제댄스스포츠센타,무도학원업,"경기도 안산시 단원구 원초로 34 (원곡동,2층 7호) ",031-483-8088,483-8088,경기도,안산시,,FALSE
굿모닝헬스타운,체력단련장업,"경기도 안산시 단원구 와동공원로 154, 4층 (와동) ",031-439-6320,031-439-6320,경기도,안산시,,FALSE
금광태권도,체육도장업,경기도 성남시 수정구 시민로 234 (태평동) ,031-755-3396,,경기도,성남시,,FALSE
금라리 마을회관앞,간이운동장, ,,054-420-7935,경상북도,김천시,,FALSE
금서면 매촌마을 운동기구-3,간이운동장,경남 산청군 금서면 매촌리 710-4 ,055-970-8205,055-970-8205,경상남도,산청군,매촌리,FALSE
김포유도관,체육도장업,경기도 김포시 돌문로15번길 20 (사우동) 공설운동장 17호,031-983-6413,031-983-6413,경기도,김포시,,FALSE
"남곡리  718,719번지",간이운동장,경상북도 김천시 감문면 남곡리길 349-7 ,054-420-7928,054-420-7928,경상북도,김천시,남곡리,FALSE
남전2리 마을회관앞,간이운동장, ,,054-420-7958,경상북도,김천시,,FALSE
노블스포렉스수영장,수영장업,경기도 고양시 일산동구 중앙로 1206 (마두동) ,031-900-5550,031-900-5550,경기도,고양시,마두동,FALSE
동방실내골프,골프연습장업,천안시 서북구 서부대로 296-12 (쌍용동) ,,,충청남도,천안시,,FALSE
동산헬스타운,체력단련장업,"경기도 안산시 단원구 당곡1로 27 (고잔동,동산빌딩5층502호) ",031-403-9688,,경기도,안산시,,FALSE
동성태권도장,체육도장업,경기도 성남시 수정구 탄리로 79 (태평동) ,031-753-3256,,경기도,성남시,,FALSE
동원당구클럽,당구장업,경기도 안산시 단원구 선부광장1로 62 (선부동) ,031-410-4939,,경기도,안산시,,FALSE
동한당구장,당구장업,경기도 안산시 단원구 선부광장북로 36 (선부동) ,031-480-4654,,경기도,안산시,,FALSE
라이프타임 휘트니스클럽(종합시장점),체력단련장업,"경기도 성남시 수정구 산성대로 263 (신흥동,4층) ",031-748-3304,,경기도,성남시,,FALSE
매니아클럽,당구장업,"경기도 안산시 단원구 광덕2로 163 (고잔동,삼영프라자 4층) ",,419-3829,경기도,안산시,,FALSE
모전1-1공원 야외운동기구,간이운동장,경북 문경시 모전동 1267 ,054-550-8884,054-550-6717,경상북도,문경시,모전동,FALSE
박봉댄스스튜디오,무도학원업,"경기도 성남시 수정구 수정로 127-1 (태평동,3층) ",031-722-0250,,경기도,성남시,,FALSE
백호태권도체육관,체육도장업,"경기도 안산시 상록구 선진로 114(사동, 본오2차아파트) ",031-403-8722,,경기도,안산시,사동,FALSE
복정당구장,당구장업,"경기도 성남시 수정구 복정로 58 (복정동,지1층) ",031-753-9586,,경기도,성남시,,FALSE
빌포츠 클럽,당구장업,경기도 안산시 상록구 본삼로 51 (본오동) ,031-407-6785,,경기도,안산시,본오동,FALSE
사동 용인대 올림픽 태권도장,체육도장업,"경기도 안산시 상록구 중보로 22 (사동, 늘푸른아파트) ",,,경기도,안산시,사동,FALSE
상금리  651-1,간이운동장, ,,054-420-8028,경상북도,김천시,,FALSE
