서적명,작가명,출판사명,발행년도
(1985년 이후의) 현대미술이론,코커 조야,두산동아,2010
한국 형상조각의 모색과 전망 =The Figurative Sculpture of Korea It's Present and future,모란미술관,모란미술관,1991
시들지 않는 꽃 :손상기 작고 20주기 =Flowers that never fade : Son Sanggi in commemoration of the 20th anniversary of his death,손상기,국립현대미술관,2008
곁에 있는 나무:故 지용출 판화유작전,지용출,(사)한국민족예술인총연합 전북지회,2011
피카소의 예술과 사랑=Picasso prints : his art his love,피카소,삼성문화재단삼성미술관,2003
(한국현대판화가협회)애뉴얼 리포트 2008 :KCPA Annual report 2008,한국현대판화가협회,한국판화가협회,2009
졸과 박의 미로 부르는 칼 노래와 판 울림 :박수근과 한국판화,박수근미술관,박수근미술관,2012
한국현대판화가 1세대로서의 박수근 :박수근과 한국판화,박수근미술관,박수근미술관,2012
차이나게이트:2006 중국 현대미술을 보는 시점 그 관점의 교정=Chinagate:perspective toward contemporary Chinese art and its rectification,한국문화예술위원회.,한국문화예술위원회 아르코미술관,2006
(2010)한국현대판화축제 =TOOL TOOL TOOL PRINT!,서울문화재단,서울문화재단,2010
세계현대도자전=World contemporary ceramics,세계도자기엑스포조직위원회,세계도자기엑스포조직위원회,2001
(2001 제1회 경기도)세계도자비엔날레 국제공모전=(The)1st world seramic biennale 2001 Korea international competition,세계도자기엑스포조직위원회,세계도자기엑스포조직위원회,2001
프랑스 현대 드로잉전 :ㅣLe dessin francais contemporain,환기미술관,환기미술관,1998
서울숲 야외조각 심포지엄 =Seoul forest open air sculpture symposium,서울시립미술관,서울시립미술관,2006
통영 국제야외조각 심포지엄 :(남망산 조각공원 조성을 위한)통영국제야외조각 심포지엄을 마치고,통영시,통영시,1997
색깔의 힘 =(The) power of color,경기도미술관,경기도미술관,2009
(2006)드로잉 에너지=Drawing energy,한국문화예술위원회 아르코미술관,한국문화예술위원회 아르코미술관,2006
Daejeon fast.,대전시립미술관,대전시립미술관,2005
한국현대판화 : Contemporary Korean prints 1958-2008,국립현대미술관,국립현대미술관,2007
2013 Emerging Artists : 신진작가 전시지원 프로그램,서울시립미술관,서울시립미술관,2013
韓國美術 1996=Korean art 1996,중앙일보사.,중앙일보사 월간미술,1996
한국 미술문화의 이해,강민기,예경,2006
선유도 공원:Seonyudo Park Seoul조경설계 및 시공사례,선유도공원,한국토지개발공사,1994
여가의 기술 :언젠가 느긋하게 =How to enjoy your free time. : one day nicely,한국공예·디자인문화진흥원,한국공예디자인문화진흥원 문화역서울 284,2014
공예상품 100선 =Top 100 traditional crafts of Korea,문화체육관광부,한국공예·디자인문화진흥원,2014
세계도자문명전:서양=World ceramic heritages : the West,세계도자기엑스포조직위원회,세계도자기엑스포조직위원회,2001
세계도자문명전:동양=World ceramic heritages : the East,세계도자기엑스포조직위원회,세계도자기엑스포조직위원회,2001
SHIM Moon-Seup :심문섭,심문섭,Jardins du Palais Royal et IBU GALLERY,2007
Picasso 명작 400선,피카소 파블로,마로니에북스,2008
고갱 타히티의 관능.,고갱,한길아트,2003
고갱 타히티의 관능.,고갱,한길아트,2003
반 고흐 마지막 3년,고흐 빈센트 반,책생각,2012
피카소 월드 :가장 도발적이고 창의적인 예술가 피카소의 삶과 예술 이야기 :개인적인 기록과 사진 드로잉 작품 갤러리,피카소,미술문화,2013
대한민국 미술인 인명록.,김달진미술연구소,김달진미술연구소 김달진미술자료박물관,2010
Andy Goldsworthy:touching nature,Malpas William.,Crescent Moon,2005
Vanessa Beecroft :fotografien Filme Zeichnungen,Beecroft Vanessa,Hatje Cantz,2004
Alberto Giacometti:sculpture paintings drawings,Giacometti Alberto,Prestel,1994
Sigmar Polke:history of everything : paintings and drawings 1998-2003,Polke Sigmar.,Dallas Museum of Art,2003
Drawing from life:the journal as art,New Jennifer.,Princeton Architectural Press,2005
Public art new hero =퍼블릭아트 뉴히어로 :creative artist's 46,월간퍼블릭아트.,아트인포스트,2010
20th century korean art,Kim Youngna,Laurence King,2005
Nam June Paik:global groove,Hanhardt John G.,Guggenheim Museum,2004
Anthony Caro:a life in sculpture,Caro Anthony,Merrell,2004
세계사진사,르마니 장-클로드,까치글방,2007
이것은 미술이 아니다,스타니스제프스키 메리 앤,현실문화연구,2009
Master drawings from the Yale University Art Gallery,Boorsch Suzanne.,Yale University Art Gallery,2006
2008 SeMA YOUNG ARTISTS : SEMA 신진작가 전시지원 프로그램 =2008 SeMA,서울시립미술관,서울시립미술관,2008
미술평론과 경영 =Art criticism & management :2011 경희대학교 일반대학원 미술학과 미술평론·경영전공 논문집,경희대학교.,경희대학교 일반대학원 미술학과 미술평론·경영전공,2011
미술평론과 경영 =Art criticism & management :2011 경희대학교 일반대학원 미술학과 미술평론·경영전공 논문집,경희대학교.,경희대학교 일반대학원 미술학과 미술평론·경영전공,2011
미술평론과 경영 =Art criticism & management :2012 경희대학교 일반대학원 미술학과 미술평론·경영전공 논문집,경희대학교.,경희대학교 일반대학원 미술학과 미술평론·경영전공,2012
Jeong Myoung Jo :The paradox of beauty,정명조,ARTSIDE GALLERY,2013
(The)American century:현대미술과 문화 1950-2000,필립스 리사,Hakgojae,2008
영국 존무어 현대회화 수상전 :John Moores contemporary painting prize show,무어 존,성남문화재단,2010
2012 아르코미술관 미디어 프로젝트 :언바운드 아카이브 =Arko media project 2012 : the unbound archive,한국문화예술위원회.,한국문화예술위원회 아르코미술관,2012
민화 民畵 범상치 아니하다 =Folk paintings extraordinary,금광복,이천시립월전미술관,2012
한국현대미술 다시 읽기:80년대 소그룹 운동의 비평적 재조명.,오상길,청음사,2000
韓國 現代美術의 斷層,석남이경성미수기념논총운영위원회,삶과꿈,2006
(광주시립미술관 하정웅컬렉션) 벤샨 :기억하는 눈 기록하는 손 =Ben Shahn : an eye which recollects a hand which records,광주시립미술관,광주시립미술관,2013
(제1회 고암미술상 수상작가) 오윤석 :이미지의 기억 Hidden memories 2013,고암이응노생가기념관,홍성군 고암이응노생가기념관_이응노의 집,2013
한국현대판화의 담론과 현장=The discourses and the fields of korean contemporary prints:1958-2008,국립현대미술관,한국현대판화가협회·국립현대미술관,2007
인라이터닝 클레이 :클레이아크김해미술관 2014년 세라믹 루키 =Enlightening clay : ceramic rookie in clayarch Gimhae museum 2014,최정은,클레이아크김해미술관,2014
Sema 2010 :이미지의 틈 - 자연.유희.심리.,서울시립미술관,서울시립미술관,2010
2010 SeMA 신진작가 전시지원 프로그램 : 윤성지 나는 설탕에 있습니다.=2010 SeMA young artists,서울시립미술관,서울시립미술관,2010
2010 SeMA 신진작가 전시지원 프로그램 : 백기은 드로잉상상의 동물 잉크애니멀즈.=2010 SeMA young artists,서울시립미술관,서울시립미술관,2010
미술 그리고 더하기 :2009 경기도미술관 lectures =Art & plus : Gyeonggi MoMA lectures,경기도미술관,경기도미술관,2009
미술과 공공성 =Art & publicity :Gyeonggi MoMA lectures,경기도미술관,경기도미술관,2009
더아트로 2012 =(The) Artro,예술경영지원센터,예술경영지원센터 The Artro,2012
한국미술=Korean art.,월간미술 편집부,월간미술,1998
한국미술=Korean art.,월간미술 편집부,월간미술,1999
서울국제조각페스타 2014 :생각을 조각하다  =International sculpture festa 2014 in Seoul : sculpture! Your Thinking!,한국조각가협회,한국조각가협회,2014
조형심리,오미겐타로,東國,1991
아주 특별한 인연:화상 볼라르가 만나 드가와 세잔,볼라르 앙브루아즈,아트북스,2005
실험예술 어떻게 볼 것인가,한국실험예술정신,다빈치기프트한국실험에술정신,2007
그림 그리고 싶은날:스케치북 프로젝트,박상희,예담(위즈덤하우스),2012
영화 미술의 언어를 꿈꾸다:영화 속 서양미술사 르네상스 미술부터 팝아트까지,한창호,돌베개,2010
현대예술로서의 사진,코튼 샬럿,시공사Sigongart,2011
20세기 서양 조각의 거장들,정금희,재원,2001
미술해부학=Artistic anatomy,최병길,미진사,2009
NORDIC PASSION :북유럽 건축과 디자인 =ARCHITECTURE & DESIGN FROM THE NORDIC COUNTRIES,서울시립미술관,서울시립미술관,2013
민중의 고동 - 한국미술의 리얼리즘 1945-2005=Art toward the society : Realism in Korea art 1945-2005,국립현대미술관,國立現代美術館,2008
고암의 수행적 드로잉:難?好?髓,대전광역시 이응노 미술관,대전광역시 이응노 미술관,2007
철들고 그림 그리다 :잊었던 나를 만나는 행복한 드로잉 시간,정진호,한빛미디어,2014
石南이 그린 사람들:이경성 작품집,모란미술관,모란,2002
드로잉의 정석 :잘 그리는 이유 못 그리는 이유.,백남원,BM성안당,2014
고흐의 드로잉=Vincent Van Gogh.,고흐 빈센트 반,재원,2003
드로잉=Drawing,이동철,아뜰리에나무,2004
화골:한 정신과 의사의 드로잉 컬렉션,김동화,경당,2007
지금 시작하는 드로잉:당당하게 도전하는 희망 그리기 프로젝트,오은정,인그라픽스,2013
드로잉 =Drawing.,테이크아웃드로잉,테이크아웃드로잉,2012
드로잉의 세계=(The)world of drawing,권여현,재원,2005
2013 화랑미술제 =2013 Korea Galleries Art Fair :31st,한국화랑협회,한국화랑협회,2013
아티스트의 스케치북 :일러스트레이터그래픽디자이너화가만화가 44인의 아이디어 보물창고,로스먼 줄리아,아트북스,2013
그림멘토 버트 도드슨의 드로잉 수업,도드슨 버트,미디어샘,2013
화가의 얼굴 자화상 :뒤러부터 워홀까지 자화상으로 그린 화가의 진실,커밍 로라,아트북스,2012
공간이 마음을 살린다 :행복한 공간을 위한 심리학,스턴버그 에스더 M.,길벗,2013
처음 만나는 그림:그림 읽어주는 남자 레스까페의 다정다감한 그림이야기,선동기,아트북스,2009
예술가의 방:아나운서 김지은 현대미술작가 10인의 작업실을 열다,김지은,서해문집,2009
도서관에서 만난 사람들 :버지니아 울프에서 안토니 가우디까지 위대한 예술가 12인의 불꽃 같은 삶과 영혼,박나경,뜨란,2013
책에 미친 바보:이덕무 산문집,이덕무,미다스북스,2013
작품 촬영 :회화에서 설치 작품까지 =Artwork shots : from painting to installation photo,조영하,포토넷,2013
관풍,의재미술관,의재미술관,2007
되돌아 보는 한국 현대조각의 위상=Looking back to the current of contemporary korean sculture : at「sculpture now」exhibition:「오늘의 한국조각」을 중심으로,모란미술관,모란미술관,2004
(간추린)서양 현대조각의 역사,리드 허버트,시공사,2005
조각:한눈에 보는 흥미로운 조각의 역사,밀레 카밀라,예경,2005
현대조각의 흐름,크라우스 로잘린드,예경,2005
Mythology of moon shin＇s art world=문신 예술의 신화:an esthetic of unity,김영호,美術世界,2008
한국 현대조각사 연구,최태만,아트북스,2007
(전수천의)움직이는 드로잉,전수천,시공아트,2007
Iron age stories,최태훈,다빈치,2003
Project:communication through the nature,김태준,다빈치,2003
딸과 함께 떠나는 건축여행,이용재,멘토press,2008
가우디 공간의 환상,가우디 안토니,다빈치,2003
성:중세의 요새와 타운이 건설되는 과정,맥컬레이 데이비드,소년한길한길사,2005
건축의 세계 :세계인과 함께 읽는 비주얼 교양 백과,글랜시 조나단,21세기북스북이십일,2009
모더니즘 이후의 현대 건축,기라도 다이앤,시공사,2006
알기쉬운 한국건축 용어사전,김왕직,동녘,2010
건축의 유혹,프렌치 힐러리,예담,2003
그림이 된 건축 건축이 된 그림.,김홍기,아트북스,2008
건축과 미술이 만나다 :1890~1940,임석재,휴머니스트 출판그룹,2008
큰 건축물:다양하고 복잡한 구조물에 숨겨진 비밀들,맥컬레이 데이비드,한길사,2004
단원 김홍도=(The)Art of Kim Hong-D:조선적인 너무나 조선적인 화가,김홍도,열화당,2008
한국미술의 자생성,한국미술의자생성간행위원회,한길아트,1998
한국미술의 자생성,한국미술의자생성간행위원회,한길아트,1998
한국미술의 자생성,한국미술의자생성간행위원회,한길아트,1998
毅齋 許百鍊,삼애학회,三愛學會,1991
(한국근대미술)근대를 보는 눈:조소=Glimps into Korean Modern Sculpture,국립현대미술관,삶과꿈,1998
에드바르 뭉크 :세기말 영혼의 초상,Prideaux Sue,을유문화사,2008
프랭크 로이드 라이트 :20세기 건축의 위대한 유산,Huxtable Ada Louise,을유문화사,2008
자코메티:영혼을 빚어낸 손길,Lord James,을유문화사,2006
페기 구겐하임,구겐하임 페기,을유문화사,2008
앙리 카르티에 브레송:세기의 눈,아술린 피에르,을유문화사,2008
백남준 나의 유치원 친구 =Nam June Paik my kindergarten friend,이경희,디자인하우스,2011
세잔:사과 하나로 시작된 현대 미술,오 미셸,시공사,2004
가우디:예언자적인 건축가,가우디 안토니오,시공사,2009
모네:순간에서 영원으로,파탱 실비,시공사,2004
르누아르:빛과 색채의 조형화가,디스텔 안,시공사,2002
레오나르도 다 빈치:조화와 비례의 미학,베초시 알렉산드로,시공사,1999
렘브란트:빛과 혼의 화가,보나프 파스칼,시공사,1996
고갱:고귀한 야만인,카생 프랑수아즈,시공사,2003
인상주의의 숨은 꽃 모리조,푸로 아르망,글항아리,2009
(이해받지 못한 사람)마네,피에라르 루이,글항아리,2009
쿠르베ㆍ터너ㆍ도미에 =Gustaue CourbetㆍWilliam TurnerㆍHonore Daumier,김은빈,지경사,2009
루벤스. 벨라스케스. 렘브란트=Peter Pau Rubens. Diego Velazquez. Rembrandt,이규희,지경사,2009
카라바조.와토.샤르댕 =Caravaggio.Jean Antoine Watteau.Jean Simeon Chardin,이미애,지경사,2009
조토.반 에이크.티치아노  =Giotto di Bondone. Jan van Eyck.Tiziano Vecellio,김은빈,지경사,2009
칸딘스키.몬드리안.폴록  =Wassily Kandinsky.Piet Mondrian.Jackson Pollock,이은재,지경사,2009
고야ㆍ제리코ㆍ들라크루아 =Francisco de GoyaㆍTheodore GericaultㆍEugene Delacroix,김진섭,지경사,2009
다비드ㆍ앵그르 =Jacques Louis David ㆍ Jean Auguste Dominique Ingres,김진섭,지경사,2009
쇠라 =Georges Pierre Seurat.로트레크 =Henri de Toulouse Lautrec.루소 =Henri Rousseau,이규희,지경사,2009
로댕ㆍ부르델 =Auguste RodinㆍEmile Antoine Bourdelle,조영경,지경사,2008
뭉크ㆍ클레 =Edvard MunchㆍPaul Klee,이규희,지경사,2008
인상주의 화가들:가장 빛나는 회화의 시대,Bartolena Simona,마로니에북스,2009
자라지 않는 나무 :손상기의 글과 그림,손상기,샘터아트북,2004
프리다 칼로 ＆ 디에고리벨라,클레지오 르,다빈치,2001
(알베르토 망구엘의)나의 그림읽기:그림에 얽힌 사랑과 증오의 역사 그리고 인간 이야기,망구엘알베르토,세종서적,2003
우리 미술 100년,오광수,현암사,2002
法空과 莊嚴=Art and truth.,강우방,열화당,1999
문신의 약속=Promise of Moon Shin,최성숙,숙명여자대학교 문신미술관,2008
세상에 부럼없어라,김동일,프레파라트,2008
발상과 표현기법:창조적 사고와 시각적 표현력 개발을 위한 학습서,행크스 커트,아키그램,2005
해석에 반대한다,손택 수전,이우,2003
샤갈 꿈꾸는 마을의 화가,샤갈 마르크,다빈치,2004
렘브란트와 혁명,몰리뉴존,책갈피,2003
프리다 칼로=Frida Kahlo,칼로 프리다,재원,2003
경기미술 2008=20 Artist & critics 6,권영진,경기문화재단,2009
기전미술 2007=20 Artist & critics.,경기문화재단,경기문화재단,2006
기전미술 2006=20 Artist & critics.,경기문화재단,경기문화재단,2006
동시대 한국미술의 지형=Mappings of Korean contemporary art,한국문화예술위원회,학고재,2009
장욱진,장욱진미술문화재단,용인대학교 전통문화연구소,2008
손상기 고향바다에 던져진 흰꽃,손상기,손상기 기념사업회,2008
조영남 길에서 미술을 만나다:유쾌하고 재밌는 미술 탐방,조영남,월간미술,2003
나는 미술관에 놀러간다,문희정,동녘,2011
Douts,정해광,심포지움,2012
일곱번째 아홉수를 곱게 보내는 두가지 :정명희 화시선집,정명희,임마누엘인쇄출판사,2012
플랑드르 사실주의 회화 :15세기 제단화를 중심으로,박성은,이화여자대학교출판부,2008
그래픽 디자인의 역사,홀리스 리처드,시공사,2001
마음이 한가해지는 미술산책,김봉규,주노아트,2007
슈퍼아트,올리바 아킬레 보니토,미진사,1996
미술과 문학의 만남,이가림,(주)월간미술,2002
당신의 미술관,파르취 수잔나,현암사,2001
마음의 빛 :방혜자 예술론,방혜자,풀잎,2009
마음의 빛 :방혜자 예술론,윤난지,풀잎,2009
런던 미술 수업 :한 젊은 아트컨설턴트가 체험한 런던 미술현장,최선희,아트북스,2008
미술관에 간 화학자:과학의 프리즘으로 미술을 보다,전창림,랜덤하우스코리아,2009
화가와 모델:화가의 붓끝에서 영원을 얻은 모델이야기,이주헌,예담,2009
(구스타프) 클림트 =Gustav Klimt,조명식,재원,2008
렘브란트 반 레인=Rembrandt van Rijn,레인 렘브란트 반,재원,2003
이방인의 빈방,김용민,멘토르출판사,2009
아방가르드의 이론,뷔르거 페터,지만지지식을만드는지식,2009
이미지의 삶과 죽음:西歐的 視線의 歷史,드브레 레지스,시각과언어,1994
미학으로 읽는 미술:미학 강의 A에서 Ω까지,오병남,월간미술,2007
미술법 =Art law :알타미라 벽화에서 데미안 허스트 까지,김형진,메이문화산업연구원,2013
예술과 환영:회화적 표현의 심리학적 연구,곰브리치E.H.,열화당,1989
미술사방법론,애담스 로리 슈나이더,조형교육,2000
춤추는 죽음:서양미술에 나타난 죽음의 미학.,진중권,세종서적,2005
춤추는 죽음:서양미술에 나타난 죽음의 미학.,진중권,세종서적,2005
정지와 움직임=Stillness & movement,국민체육진흥공단,국민체육진흥공단,2004
강익중 =Ik-Joong Kang,이주헌,마로니에북스,2009
김복진의 삶과 예술,이경성,얼과알,2001
(海東書聖)金生書法字典,김생연구회,金生硏究會,2005
명화의 비밀,호크니데이비드,한길아트,2003
한국현대미술 다시읽기 IV:초기 추상미술의 비평적 재조명.,오상길,ICAS,2004
한국현대미술 다시읽기 IV:초기 추상미술의 비평적 재조명.,오상길,ICAS,2004
한국현대미술 다시읽기 IV:초기 추상미술의 비평적 재조명.,오상길,ICAS,2004
한국현대미술 다시읽기III:70년대 단색조 회화의 비평적 재조명.,오상길,ICAS,2003
한국현대미술 다시읽기III:70년대 단색조 회화의 비평적 재조명.,오상길,ICAS,2003
한국현대미술 다시 읽기 II:670년대의 미술운동 자료집.,오상길,ICAS,2001
한국현대미술 다시 읽기 II:670년대의 미술운동 자료집.,오상길,ICAS,2001
표현주의,베어 슐라미스,열화당,2003
미래주의,험프리스 리처드,열화당,2003
추상표현주의,발켄 데브라 브리커,열화당,2003
리얼리즘,맬패스 제임스,열화당,2003
초현실주의,브래들리 피오나,열화당,2003
팝 아트,매카시 데이비드,열화당,2003
바우하우스,휘트포드 프랭크,시공사·시공아트삽도,2011
(간추린)서양현대조각의 역사,리드 허버트,시공사,2003
비잔틴 미술.,매튜스 토머스 F.,예경,2006
아프리카 왕실미술,블라이어 수잔 프레스턴,예경,2004
스페인 회화,톰린슨재니스,예경,2002
라파엘전파,베린 팀,예경,2002
(20세기)정치선전예술,클락 토비,예경,2000
베네치아의 르네상스,브라운 패트리샤 포르티니,예경,2001
북유럽 르네상스의 미술,하비슨 크랙,예경,2001
베로니카의 수건=Veronica's veil:story of St. Mary and Christ's image,홍진경,예경,2001
중국회화 감상=Paintings of China,박은화,예경,2001
오늘의 미술,테일러 브랜든,예경,2002
한국근대미술과 시각문화,김영나,조형교육,2002
조선 후기의 기술도 =Technical drawing in last Joseon Korea :서양 과학의 도입과 미술의 변화,정형민,서울대학교출판부,2007
(개정판) 문학과 예술의 사회사(1-4).,하우아르놀트,창작과비평사,2003
(개정판) 문학과 예술의 사회사(1-4).,하우아르놀트,창작과비평사,2003
(개정판) 문학과 예술의 사회사(1-4).,하우아르놀트,창작과비평사,2003
초기 그리스도교와 비잔틴 미술,로덴 존,한길아트,2003
그리스 미술,스피비 나이즐,한길아트,2001
이슬람 미술,블룸 조너선,한길아트,2001
다다와 초현실주의,게일매슈,한길아트,2001
신고전주의,어원 데이비드,한길아트,2004
낭만주의,브라운 데이비드 블레이니,한길아트,2004
달리,래드퍼드로버트,한길사,2002
고흐,선드 주디,한길아트,2004
미켈란젤로,휴즈 앤소니,한길아트,2003
고야,시먼스 새러,한길아트,2001
인도미술,데헤자 비드야,한길아트,2001
렘브란트,베스테르만 마리에트,한길아트,2001
아르누보,에스크릿 스티븐,한길아트,2001
샤갈,봄-두첸 모니카,한길아트,2003
현대미술의 이해:모더니즘·포스트모더니즘을 읽는 8가지 새로운 눈,미첨 팸,시공사,2010
(알베르토 망구엘의)나의 그림읽기:그림에 얽힌 사랑과 증오의 역사 그리고 인간 이야기,망구엘알베르토,세종서적,2003
인문학의 꽃 미술사학 그 추체험의 방법론=Art History the Flower of the Humanities - its Methodology of Nacherlebnis,강우방,열화당,2004
사랑의 이미지=Images d'amour,정진국,민음사,2005
궁궐의 장식그림=Decorative Paintings of Joseon Palaces,국립고궁박물관,국립고궁박물관,2009
한국미술의 역사:선사시대에서 조선시대까지,김원용,Sigongart,2003
위대한 의자 20세기의 디자인=100 years 100 chairs,서울시립미술관,로렌스 제프리스,2006
이탈리아 스타일전:가구 조명 은기,한국국제교류문화재단,한국국제교류문화재단,2010
작품가격.,한국미술시가감정협회.,월간 Art Price,2011
(미술 감상의 원리)미술의 이해,파이퍼 데이비드,시공사,1995
파노프스키의 이데아,파노프스키 에르빈,예경,2005
새로움의 충격:모더니즘의 도전과 환상,휴즈 로버트,미진사,1995
(위대한 유토피아의 꿈)러시아 미술사=(The)story of Russian art:12세기 이콘화부터 21세기 현대 미술까지,이진숙,황금가지민음in,2008
세계미술용어사전,월간미술사,중앙일보사,1994
(사례로 본) 디자인과 브랜드 그리고 경쟁력,정경원,웅진북스,2004
이슈 중국 현대 미술:찬란한 도전을 선택한 중국 예술가 12인의 이야기,이보연,Sigongart,2008
(만화)서양미술사.,다카시나 슈지,다빈치,2002
인도현대미술 : 세 번째 눈을 따라,국립현대미술관,국립현대미술관,2009
어느 미술관장의 회상:미술은 모든 사람의 것이다,이경성,시공사,1998
소장자료 테스트,오성빈,,
Soyez Les Bienvenus,Baur Ruedi,I'ESBAM,2004
Paul Klee Art Box,Klee Paul,[  ],2006
Ralf Sander :Transformationen,Sander Ralf,FK,2010
Annuel Skira Annual,Skira,Skira,1978
Art photography now,Bright Susan,Aperture,2005
Carsten Ho@ller :register,Ho@ller Carsten.,Fondazione Prada,2006
Un Artista Pensador,Montanes Jesus Sus,Editorial Aqua,2007
Moon Shin :Retrospective,Shin Moon,Jacques Dopagne,1992
Infant Splendor,구상,삼성출판,1990
RODIN :으젠느 오귀스뜨 로댕,열화당편집부,열화당,1990
미국 미술 300년 =Art across America,국립중앙박물관,국립중앙박물관,2013
김주호,김주호,헥사곤,2012
진양욱 그 삶과 예술,진양욱,광주시립미술관,2001
조선시대 초상화 초본,이수미,국립중앙박물관,2007
Drawing now:eight propositions,Hoptman Laura J.,Museum of Modern Art,2002
서양미술사,곰브리치 E.H.,예경,1994
현대미술사연구.,현대미술사학회,현대미술사학회,2013
Drawing 또 다른 선의 언어,정숙영,미진사,2005
드로잉,서울여대조형연구소,시공사,2002
뒤러 ·홀바인 ·브뢰겔 :명화로 보는 세계의 미술가,강원희,지경사,2009
피카소와의 대화=Conversations avec Picasso,브로샤이,에코리브르,2004
자살의 미술사,브라운 론,다지리,2003
낯익은 일상 낯선 드로잉,윤종석,문장,2006
천재는 죽었다,심상용,아트북스,2003
추상미술.,멜구딩,열화당,2003
이집트 미술,말레크 야로미르,한길아트,2005
이것이 한국화다:일랑의 현대진경,류병학,아트북스,2003
한국미술 그 분출하는 생명력,강우방,월간미술,2001
서울의 궁궐건축,김동현,시공사,2004
(우리가 정말 알아야 할)우리 그림 백가지:선사시대부터 조선시대까지,박영대,현암사,2002
예술가와 뮤즈,유경희,아트북스,2003
한국미술 100년.,국립현대미술관,한길사,2006
한국 근대회화 100선:1900-1960,국립현대미술관,얼과알,2002
한국의 초상화 :형形과 영影의 예술,조선미,돌베개,2009
우리 옛 도자기의 아름다움,윤용이,돌베개,2008
초상화 연구:초상화와 초상화론,조선미,문예출판사,2008
畵壇풍상七十年:月田 회고록,장우성,미술문화,2003
새로운 지평선:1789년부터 1980년까지의 서양 근현대 미술과 동양 미술,파이퍼 데이비드,시공사,1995
추상 미술의 역사,다발장 뤽,미진사,2001
美術과 視知覺,아른하임 루돌프,미진사,2005
美術과 視知覺,아른하임 루돌프,미진사,2005
미술의 세계,커밍 로버트,북이십일 21세기북스,2009
화가들은 감정을 어떻게 표현할까?,이명옥,작은책방,2005
西洋美術史,잰슨호스트 월드머,미진사,2002
잔혹극 속의 현대 미술:몸과 권력 사이에서,김원방,예경,1998
예술작품의 근원,말틴 하이데거,경문사,1979
미학 강의,헤겔 게오르크 W.F.,지만지,2008
20세기의 한국미술,김영나,예경,2001
만화 서양미술사.,다카시나 슈지,다빈치,2002
21세기 문화발전을 위한 미술진흥제도 개선책 연구,'95미술의해 조직위원회.,'95미술의해 조직위원회 미술정책연구회,1995
한국현대미술 추억사 :1970-80 =Short-term memory of Korean contemporary art : 1970-80,대학미술협의회,사회평론,2009
홀로 나귀 타고 미술숲을 거닐다 :한국미술 7천 년 미(美)의 산책,이원복,이가서,2008
(곽재구의)예술기행:내가 사랑한 사람 내가 사랑한 세상,곽재구,열림원,2003
인터넷과 함게하는 현대디자인,이수철,예경,2003
예술행정,한국문화예술진흥원,한국문화예술진흥원,2019
아방가르드의 쇠퇴와 몰락,홉스봄 에릭,조형교육,2002
웬디 수녀의 미국 미술관 기행,베케트 웬디,예담,2004
웬디 수녀의 미국 미술관 기행,베케트 웬디,예담,2004
그리스 미술 이야기,노성두,살림출판사,2004
디자인의 유혹,프리먼 줄리언,예담출판사,2008
미술의 유혹,프리먼 줄리언,예담,2003
우리 시대의 미술가들,오광수,시공아트,2011
문학과 예술의 사회사:선사시대부터 중세까지.,하우저아르놀트,창작과비평사,2001
20세기의 미술,린튼 노버트,예경,1993
사진에 나타난 몸,퓰츠 존,예경,2001
중세의 사랑과 미술,카밀마이클,예경,2001
미술의 해석,피시맨 솔로몬,학고재,1999
토탈 아트:前衛藝術이란 무엇인가,헨리 에이드리언,正音文化社,1987
현대미술에서의 환원과 확산:李逸 美術評論集,이일,悅話堂,1991
사비나의 에로틱 갤러리,이명옥,해냄,2002
바로보는 한국의 현대미술,김달진,발언,2006
미학예술학 사전,다께우찌 도시우,미진사,1993
전시의 담론=모더니즘 이후 미술의 화두,윤난지,눈빛,2003
현대미술과 모더니즘론:형식주의.맑시즘.후기구조주의.포스트모더니즘의 관점,이영철,시각과 언어,1996
현대미술,Pradel Jean-Louis,생각의나무,2004
마음에 품는 현대미술 :한국현대화가 70명에 대한 에세이,김종근,Artblue,2009
현대미술의 풍경=Landscape of Modern Art,윤난지,한길아트,2007
현대미술의 변명:포스트모더니즘 미술가 25인과의 인터뷰,시겔 진,시각과언어,2000
