교육종류명,교육명,교육대상명,정원,교육시작일자,교육종료일자,교육장소명,교육비용,교육 설명내용,상세설명내용,신청인원수,접수상태,url,접수기간,운영기간,교육대상전처리
공교육연계,"예술가와 철학자의 대담 〈드로잉, 삶의 철학을 그리다〉전시연계 프로그램",관람객 누구나,40,20240608,20240713,소마미술관 1관 내 출구 로비,0,"Part.1 (6/8 토요일 15:00~16:30)  /  유근택 작가, 안규철 작가, 이진우 철학자  /  (진행)최재혁 학예사Part.2 (7/13 토요일 15:00~16:30)  /  강미선 작가, 안규철 작가, 허경 철학자  /  (진행)최재혁 학예사","예술가와 철학자의 대담은〈드로잉, 삶의 철학을 그리다〉전시연계 프로그램으로 소마미술관은 전시 기간 중 예술가와 철학자를 직접 만나 소통하고 인문학적 지식을 넓힐 수 있는 프로그램입니다. 

본 프로그램은 Part.1 / Part.2로 총 2회 진행됩니다. 프로그램당 두 명의 작가와 한 명의 철학자를 초대하여 전시를 기획한 학예사의 사회로 진행됩니다. 

예술가가 펼쳐온 철학적 사유와 관람객의 소통으로 개개인의 삶을 더욱 깊이 있게 이해하고 진지하게 고민하는 시간을 가질 수 있을 것입니다. 


▶예술가와 철학자의 대담 Part.1 (6/8 토요일 15:00~16:30) (5.28 화요일~ 접수중)
유근택 작가, 안규철 작가, 이진우 철학자
(진행)최재혁 학예사
- 긴 시간 작품활동을 해온 유근택, 안규철 작가의 삶에서 드러나는 철학적 지점들을 살펴보고 예술과 철학의 공통분모를 발견
- 예술가뿐만 아니라 우리 모두가 가져야 할 삶의 태도와 가치관 등을 생각해보는 기회


▶예술가와 철학자의 대담 Part.2 (7/13 토요일 15:00~16:30)  (6. 26 수요일~ 접수예정)
강미선 작가, 안규철 작가, 허경 철학자
(진행)최재혁 학예사
- 오랜 시간 자신만의 작품세계를 명확히 한 강미선, 안규철 작가의 삶에서 드러나는 철학적 지점들을 살펴보고 철학자의 해석을 들어봄
- 드로잉과 글, 수묵과 서예를 주요하게 다루는 두 작가를 통해 이미지와 텍스트의 관계성에 대해 논의함. 이후 우리가 그림과 글을 다루면서 보고/생각하고/말하는 방식에 대한 철학적 해석을 살펴봄",40,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=339=04,소마미술관 홈페이지 선착순 접수,"6/8, 7/13 15:00~16:30",제한없음
공교육연계,[성인/평일] 2024 조각투어_다양한 표현의 조각 작품,성인,25,20240418,20241010,,0,,"2024년 서울올림픽조각공원 2024 조각투어프로그램에 여러분을 초대합니다.

다양한 표현의 조각 작품은 올림픽공원 야외조각 작품(6점)을 알아봅니다.
소마미술관 전문 조각 해설가와 함께 조각 작품의 재료, 구성, 표현기법 등을 분석하고 이해해 보는 시간입니다.
*조각작품 코스(레드존) : (19)자화상과 그림자 (18)단편들(20)미스듬이 세워진 두 개의 선들(67) 열림(63)본 패스트 (40)하늘기둥 

★신청전 꼭 확인하세요.★
 - 신청방법 : 달력에서 날짜 선택(선착순 마감)
 - 성인 대상 (*스크래치 교구재 제공)
 - 기타문의 : 02-410-1338 / 접수이후, 신청취소(필수) : 02-410-1333
 - 총 25명 (그룹 신청시 모든 참여자 등록 필수)
 - 주차유료 (올림픽공원 남3문, 남4문)",25,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=327=04,홈페이지 선착순 접수,"4/25, 5/16, 10/10 10:30~11:30",성인
공교육연계,[성인/가족] 2024 조각투어_사계절이 있는  조각 작품,성인/가족 (어린이 5세 이상),25,20240418,20241010,,0,,"2024년 서울올림픽조각공원 2024 조각투어프로그램에 여러분을 초대합니다.

사계절이 있는 조각 작품은 올림픽공원 야외조각 작품(7점)을 알아봅니다.
올림픽공원의 아름다운 자연속에서 전문 조각 해설가의 설명을 들을 수 있습니다.
조각 도슨트와 함께 숲속을 거닐며 조각작품의 빛, 그림자 등 을 감상해보세요.

조각 작품의 재료, 구성, 표현기법 등을 분석하고 이해해 보는 시간입니다.
*조각작품 코스(블루존) : (3)보르헤스를 기다리며(31)디나 볼츠(25)상승25(26)건널목 건너기(17)시간과 공간 속의 만남(29)어린 날의 추억 

★신청전 꼭 확인하세요.★
 - 신청방법 : 달력에서 날짜 선택(선착순 마감)
 - 성인/가족 (어린이 5세이상)
 - 기타문의 : 02-410-1338 / 접수이후, 신청취소(필수) : 02-410-1333
 - 총 25명 (그룹 신청시 모든 참여자 등록 필수)
 - 주차 유료 (올림픽공원 남3문, 남4문)",25,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=328=04,홈페이지 선착순 접수,"4/20, 4/27, 5/11, 9/28, 10/5  14:00~15:00",성인
공교육연계,[문자 서비스 신청] 성인,성인,제한 없음,20230701,20241231,,0,,"문자서비스 신청 시 확인 사항
　- 서비스 내용 : 성인 대상 프로그램 개설 및 접수 안내
　- 신청 월부터 1년까지 문자서비스 제공
　　(예) 2019년 3월에 신청한 경우 2020년 2월까지 서비스 제공
　- 수신거부 및 통신 오류 등으로 인한 미수신은 책임지지 않습니다.

★문자서비스 신청방법★
1. 달력에서 신청달의 1일 클릭
　(예) 3월 26일인 경우 3월 1일 클릭
2. 접수신청 클릭
3. 필수항목 입력 
4. 아래와 같은 문자 수신하면 서비스 신청 완료
　문자서비스 수강신청 되었습니다. 수업 확정 시 접수완료 문자가 발송됩니다.",1000,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=153=04,,상시,성인
관람체험,[중학교연계/금요일] 진짜 궁금한 조각이야기-추상조각(면으로 표현하는 올림픽),중학생 단체,1학급,20240401,20241231,소마미술관 아카데미,0,"도입 (5분): 오리엔테이션사전학습 (20분): 조각가의 숨은 이야기, 추상조각에 대해 알아보기감상활동 (35분): 올림픽 조각공원 작품 감상하기표현활동 (50분): 올림픽의 다양한 스포츠 선수 몸동작 특징 찾기, 추상조각 만들기마무리 (10분): 작품 마무리 및 감상","올림픽 조각공원 탄생의 의미를 이해하고, 올림픽 레거시 가치를 학습합니다.

조각가들의 작업과정과 작업이야기를 통해 작품이 형성되는 과정을 이해한다.
추상조각의 개념과 구상, 반추상, 추상의 과정을 이해하고, 인체의 다양한 동작이 어떻게 추상조각이 되는지 작품제작을 통해 알아본다.


▶ 운영기간 : 5~11월/ 지정 날짜 중 택1
▶ 수업시간 : 오후(14:00~16:00)
▶ 대      상 : 중학교 단체

★ 접수 시 희망 반에 해당하는 날짜 하루만 클릭하여 신청바랍니다.
　(예) 4/29(금) 수강 희망날짜 클릭팝업창 내용 작성하여 신청하기4/29(금) 수강 신청 완료! 

▶신청내역: 신청자명/휴대폰번호/이메일/인원수/학교명/학년

★ 수업 확정 시 접수완료 문자가 발송됩니다.
★ 한 학교에서 2학급까지 신청 가능합니다.(*1회 수업 당 1학급) 
★ 수업 당일 취소 시 차년도 접수에서 제한됩니다.",1,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=333=03,4/17 15:00 부터 소마미술관 홈페이지 선착순 접수,오후(14:00～16:00) / 2시간,중학생
관람체험,"[초,중,고 학교단체] 2024 조각투어_다양한 표현의 조각 작품",초등/중학/고등 그룹,25,20240418,20240521,,0,,"2024년 서울올림픽조각공원 2024 조각투어프로그램에 여러분을 초대합니다.

다양한 표현의 조각 작품은 올림픽공원 야외조각 작품(6점)을 알아봅니다.
소마미술관 전문 조각 해설가와 함께 조각 작품의 재료, 구성, 표현기법 등을 분석하고 이해해 보는 시간입니다.
*조각작품 코스(레드존) : (19)자화상과 그림자 (18)단편들(20)비스듬이 세워진 두 개의 선들(67) 열림(63)본 패스트 (40)하늘기둥 

★신청전 꼭 확인하세요.★
 - 신청방법 : 달력에서 날짜 선택(선착순 마감)
 - 초등/중학/고등[단체학급] 대상 (*스크래치 교구재 제공) *신청시 수강생 1명, 학교명(학생수)
 - 기타문의 : 02-410-1338 / 접수이후, 신청취소(필수) : 02-410-1333
 - 1학급 기준 (*정원 미만시 타그룹 합류 가능, 정원 내 다수 그룹 진행 가능)
 - 주차는 유료 (올림픽공원 남3문, 남4문)",25,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=326=03,홈페이지 선착순 접수,"4/18, 4/23, 5/21 10:30~11:30",초등학생
관람체험,[중학교연계/수요일] 우리는 미술관 창의해결사,초등학생 단체,1학급,20240401,20241231,소마미술관 아카데미,0,"도입 (5분): 오리엔테이션사전학습 (20분): 미술관과 미술관의 일 알아보기감상활동 (40분): 전시공간(미술관 또는 조각공원) 탐색표현활동 (45분): 세계 미술관의 다양한 사건, 사고 소개마무리 (10분): 모둠별 발표 및 마무리","올림픽 조각공원 탄생의 의미를 이해하고, 올림픽 레거시 가치를 학습합니다.

미술관 개념과 역할을 이해하고, 다양한 직업을 알아본다.
미술관에서 발생할 수 있는 문제들에 대하여 창의적으로 해결할 수 있는 방안을 모색해본다.


▶ 운영기간 : 5~11월/ 지정 날짜 중 택1
▶ 수업시간 : 오후(14:00~16:00) 중 택1
▶ 대      상 : 중학교 단체

★ 접수 시 희망 반에 해당하는 날짜 하루만 클릭하여 신청바랍니다.
　(예) 4/29(금) 수강 희망날짜 클릭팝업창 내용 작성하여 신청하기4/29(금) 수강 신청 완료! 

▶신청내역: 신청자명/휴대폰번호/이메일/인원수/학교명/학년

★ 수업 확정 시 접수완료 문자가 발송됩니다.
★ 한 학교에서 2학급까지 신청 가능합니다.(*1회 수업 당 1학급) 
★ 수업 당일 취소 시 차년도 접수에서 제한됩니다.",1,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=332=03,4/17 15:00 부터 소마미술관 홈페이지 선착순 접수,오후(14:00～16:00) / 2시간,초등학생
관람체험,[문자 서비스 신청] 중등,중학교 단체,제한 없음,20230701,20241231,,0,,"문자서비스 신청 시 확인 사항
　- 서비스 내용 : 중학교 학급단체 프로그램 개설 및 접수 안내
　- 신청 월부터 1년까지 문자서비스 제공
　　(예) 2019년 3월에 신청한 경우 2020년 2월까지 서비스 제공
　- 수신거부 및 통신 오류 등으로 인한 미수신은 책임지지 않습니다.

★문자서비스 신청방법★
1. 달력에서 신청달의 1일 클릭
　(예) 3월 26일인 경우 3월 1일 클릭
2. 접수신청 클릭
3. 필수항목 입력 
4. 아래와 같은 문자 수신하면 서비스 신청 완료
　문자서비스 수강신청 되었습니다. 수업 확정 시 접수완료 문자가 발송됩니다.

※ 신청자 휴대폰 기준으로 안내문자가 발송되므로 수강생 인원은 1명으로 입력해주세요.
   (학교학생들 인원대로 수강생 모두 입력하시면 그 인원수 만큼 신청자분께 중복문자가 발송됩니다.)",1000,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=165=03,,상시,제한없음
성인정규,[문자 서비스 신청] 유아(6~7세),유아6~7세,제한 없음,20230701,20241231,,0,,"문자서비스 신청 시 확인 사항
　- 서비스 내용 : 유아(6~7세) 대상 프로그램 개설 및 접수 안내
　- 신청 월부터 1년까지 문자서비스 제공
　　(예) 2019년 3월에 신청한 경우 2020년 2월까지 서비스 제공
　- 수신거부 및 통신 오류 등으로 인한 미수신은 책임지지 않습니다.

★문자서비스 신청방법★
1. 달력에서 신청달의 1일 클릭
　(예) 3월 26일인 경우 3월 1일 클릭
2. 접수신청 클릭
3. 필수항목 입력 
4. 아래와 같은 문자 수신하면 서비스 신청 완료
　문자서비스 수강신청 되었습니다. 수업 확정 시 접수완료 문자가 발송됩니다.

※ 신청자 휴대폰 기준으로 안내문자가 발송되므로 수강생 인원은 1명으로 입력해주세요.
   (자녀 인원수대로 수강생 모두 입력하시면 그 인원수 만큼 신청자분께 중복문자가 발송됩니다.)",1000,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=162=01,,상시,유아
성인정규,[어린이단체] 2024 조각투어_이야기가 담긴  조각 작품,미취학 어린이 단체 (5~7세),25,20240416,20241010,서울올림픽 조각공원 레드존 : (25)빛의파종 (27)말 위의 산책인(26)이삭의 희생Ⅱ(28) 충돌(29)외계인,0,,"2024년 서울올림픽조각공원 2024 조각투어프로그램에 여러분을 초대합니다.

이야기가 담긴  조각 작품은 올림픽공원 야외조각 작품(5점)을 알아봅니다.
소마미술관 전문 조각 해설가의 설명을 듣고, 참여자가 다양한 이야기를 상상해 볼 수있습니다.

*조각작품 코스(레드존) : (25)빛의파종 (27)말 위의 산책인(26)이삭의 희생Ⅱ(28) 충돌(29)외계인 

★신청전 꼭 확인하세요.★
 - 신청방법 : 달력에서 날짜 선택(선착순 마감)
 - 5~7세 미취학 아동 [단체] 대상 (*교구재(스티커북) 활동)
 - 기타문의 : 02-410-1338 / 접수이후, 신청취소(필수) : 02-410-1333
 - 총인원 25명 (*정원 미만시 타그룹 합류 가능, 정원 내 다수 그룹 진행 가능)
 - 주차는 유료 (올림픽공원 남3문, 남4문)",25,접수중,http://soma.kspo.or.kr/contents/education/class_let_view.asp?txtCLSS_SEQ_N=324=01,홈페이지 선착순 접수,"4/16, 4/30, 5/14, 9/24, 10/8 10:30~11:30",제한없음
