전시실명,전시명,전시시작일자,전시종료일자,전시상태,장소명,주관기관명,작가명,작품명,관람시간,관람정보,전자책URL,전자책명,전시이미지URL,전시이미지명,전시영문명,전시영문내용
1관,Into Drawing Plus,2024-01-19,2024-02-18,종료,소마미술관 1관 5전시실,국민체육진흥공단 / 소마미술관,"이채영, 김유정, 정혜련","회화, 설치, 영상, 아카이브자료 등",,메인전시(신소장품전) 관람 시 무료,,,/manage/upload_files/display/2023/11/16/e5c607a6-0cb9-4684-8487-5aacb7742a9c.jpg,포스터(인투플러스)-420x600-1116.jpg,Into Drawing PLUS,
1관,Into Drawing 37 계단 밑 깊은 어둠,2018-07-06,2018-07-22,종료,소마드로잉센터 전시실(제6전시실),국민체육진흥공단 소마미술관,전윤정 (Yunjung Chun),드로잉 90여점,"10:00~18:0010:00~18:00(입장마감 17:20)문화가 있는날(매월 마지막 주 수요일) 야간 연장개관(10:00~21:00, 입장마감 20:20)매주 월요일 휴관",메인전시 (일부러 불편하게) 관람시 무료관람,,,/manage/upload_files/display/2019/01/07/72bf0fdc-c48f-450a-a4be-c85f7f0afda0.jpg,인투37-포스터-최종.jpg,Into Drawing 37_Deep Gloom Beneath the Stairs,
1관,"Into Drawing 36 점점 느리게 그리고 여리게,점점 사라지듯이",2018-06-08,2018-06-24,종료,소마드로잉센터 전시실(제6전시실),국민체육진흥공단 소마미술관,이요나 Yona Lee,오브제 설치,"10:00~18:00(입장마감 17:20)문화가 있는날(매월 마지막 주 수요일) 야간 연장개관(10:00~21:00, 입장마감 20:20)매주 월요일 휴관",메인전시 (일부러 불편하게) 관람시 무료관람,,,/manage/upload_files/display/2019/01/07/bba91bac-8c09-400a-a2d8-de692b7950fd.jpg,인투36-포스터.jpg,Into Drawing 36_Perdendosi,
1관,몸 주제: 일부러 불편하게,2018-06-08,2018-08-19,종료,소마미술관 1 ~ 5전시실,국민체육진흥공단 소마미술관,"강기석, 강지윤, 고길숙, 김남현, 김지용, 신이피, 이은실, 이태욱, 이희명, 장서영, 장지아, 한계륜, 현주","회화, 드로잉, 사진, 조각, 영상, 설치 등 30여점","10:00~18:00(입장마감 17:20)문화가 있는날(매월 마지막 주 수요일) 야간 연장개관(10:00~21:00, 입장마감 20:20)매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료20인 이상 단체관람의 인솔교사 1명 무료재관람 고객 무료예술인 패스 소지자는 청소년 할인 요금 적용(2,000원)",/manage/upload_files/display/ebook/2019/01/08/fdb9f8fe-699c-4987-b17a-5d385e32f4dd.pdf,soma_일부러불편하게_최종.pdf,/manage/upload_files/display/2019/01/07/3cf28a57-00ea-48ae-b6d6-b34e38c8aa8e.jpg,소마-일부러-불편하게-포스터.jpg,DISCOMFORT ON PURPOSE,
1관,"작가 재조명: 황창배, 유쾌한 창작의 장막",2018-03-09,2018-05-20,종료,소마미술관 1 ~ 6전시실 및 로비,국민체육진흥공단 소마미술관,故 황창배 화가,"회화, 드로잉, 영상, 아카이브 등 200여점","10:00~18:00(입장마감 17:20)문화가 있는날(매월 마지막 주 수요일) 야간 연장개관(10:00~21:00, 입장마감 20:20)매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료20인 이상 단체관람의 인솔교사 1명 무료재관람 고객 무료예술인 패스 소지자는 청소년 할인 요금 적용(2,000원)",/manage/upload_files/display/ebook/2019/01/08/dfcf1619-d56a-4ab1-b584-0b9a45a81c8c.pdf,soma_황창배전.pdf,/manage/upload_files/display/2019/01/07/be24459e-85c2-4174-915c-5ae35ef6b035.jpg,SOMA_작가재조명-황창배_포스터OL.jpg,HWANG CHANG BAE : THE TENT OF DELIGHTS,
1관,2017 야외조각프로젝트 S,2017-07-21,2018-03-31,종료,소마미술관 주변 조각공원 일대,국민체육진흥공단 소마미술관,김창환/ 도수진/ 이수진,비스듬히 세워진 두 개의 선들(1988) 외 5작품,,,,,/manage/upload_files/display/2019/01/15/13cb1731-f0af-44ad-bbea-46fec33edaac.jpg,sculpture.jpg,SOMA Outdoor Project Project S,
1관,영국 국립미술관 테이트 명작전-Nude,2017-08-11,2018-02-04,종료,소마미술관 전관,"조선일보, 국민체육진흥공단, 테이트미술관 소마미술관, 한솔BBK","피카소, 마티스, 드가, 르누아르, 로댕, 헨리 무어, 윌리엄 터너, 윌렘 드 쿠닝, 루이즈 부르주아, 데이비드 호크니, 신디 셔먼, 사라 루카스 등 총 66명","회화, 조각, 드로잉 ,사진 등 총 122점","10:00~19:00(입장마감 18:00)문화가 있는날(매월 마지막 주 수요일) 야간 연장개관(10:00~21:00, 입장마감 20:00)도슨트 운영시간 : 오전 11시, 오후 5시","성인(19-64세) 13,000원, 청소년(13-18세) 9,000원, 어린이(5-12세) 6,000원성인(19-64세) 11,000원, 청소년(13-18세) 7,000원, 어린이(5-12세) 4,000원만 65세 이상, 국가유공자, 장애인 6,000원예술인 패스 소지자는 청소년 요금 적용만 48개월 미만 무료입장(부모 동반 시)문화가 있는 날 성인 7,000원 청소년 및 어린이 4,000원",,,/manage/upload_files/display/2019/01/07/32d2301b-8189-4c16-a25c-9423b97679e0.jpg,tate_poster_최종_outline-1.jpg,Nude : Masterpieces from Tate,
1관,뮤지엄 버스킹(Museum Busking),2017-05-12,2017-05-28,종료,"소마미술관 2~5전시실, 백남준 비디오 아트홀",국민체육진흥공단 소마미술관 국민체육진흥공단 소마미술관,"박지은, 신제현, 오종원, 이민혁, 정원연, 조명식, 최윤석, 프로젝트그룹 옆, 한받",퍼포먼스 설치 작품 40여점,10:00~18:00(입장마감 17:20)매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/15/c087946e-85af-47c3-8d70-17cc42543f21.jpg,뮤지엄 버스킹.JPG,Museum Busking,
1관,Into Drawing 35 살갗의 사건,2017-05-12,2017-05-28,종료,소마미술관 드로잉센터 전시실(제1전시실),국민체육진흥공단 소마미술관,고등어 Mackerel Safranski,"드로잉, 설치 등 10여점",10:00~18:00(입장마감 17:20)매주 월요일 휴관,메인전시 (내가 사는 피부) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/09/e5485a92-0096-4bde-96b0-880f863cffe2.jpg,인투35-포스터-최종.pdf_page_1.jpg,Into Drawing 35_Accident of Flesh,
1관,다이나믹 라이프,2005-09-15,2005-11-28,종료,소마미술관 제1~5전시실,소마미술관 / 국민체육진흥공단,"강영민,권여현,김경민,김익성,김일용,오상욱,이동재,임택,전상옥,정국택,최혜광","회화,조각,설치작품 약 30점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,,,,/manage/upload_files/xhbt/image/2007020717242831340.jpg,2007020717242831340.jpg,Dynamin Life,
