동호회명,시도명,시군구명,종목명,소속그룹명,종목분류명,성별구분명,회원수,설립일자
,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,2021-10-21
The 쎈,전라남도,전라남도 목포시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,2021-06-11
보디빌딩피지크,경상북도,경상북도 구미시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,2021-11-05
화순 MAX,전라남도,전라남도 화순군,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2022-08-25
(Bbam)최만석스노우보드스쿨,강원도,강원도 홍천군,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,2020-01-06
(Dream of judo)영동유도관,충청북도,충청북도 영동군,유도,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,3,2022-12-29
(dream of judo) 흥덕유도관,충청북도,충청북도 청주시흥덕구,유도,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,10,2022-12-29
(사)대한노인회 울산남구지회,울산광역시,울산광역시 남구,에어로빅힙합,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,16,2024-03-26
(사)대한산악스키협회,서울특별시,서울특별시 송파구,산악,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,8,2023-01-03
(사)여주레져스포츠클럽,경기도,경기도 여주시,수상스키·웨이크스포츠,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,5,2024-05-22
(사)영일만공공스포츠클럽,경상북도,경상북도 포항시북구,스쿼시,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,6,2022-11-08
(사)예산스포츠클럽,충청남도,충청남도 예산군,조정,공공스포츠클럽,"19세이하부,20세이상부",남성,19,2021-07-08
(사)전주비전스포츠클럽,전라북도,전라북도 전주시완산구,복싱,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,6,2023-01-26
(사)창원요트클럽,경상남도,경상남도 창원시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,2020-06-16
(사)한국여성바둑연맹,서울특별시,서울특별시 성동구,바둑,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-10-05
(사)한국해양소년단연맹,서울특별시,서울특별시 용산구,수상스키·웨이크스포츠,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2024-05-21
(주)알파카패밀리,인천광역시,인천광역시 서구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-08-05
0.1 희망나눔홍보배구단,충청북도,충청북도 충주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2020-08-02
051-,부산광역시,부산광역시 북구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,5,2024-06-04
104 검술연구회,서울특별시,서울특별시 노원구,우슈,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2022-05-13
119비발코,울산광역시,울산광역시 중구,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-03-28
119테니스,대전광역시,대전광역시 서구,테니스,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,11,2022-06-13
