name,type,address,phone,big,normal,small,longitude,latitude
 남곡보건진료소,간이운동장,,054-420-7930,경상북도,김천시,,,
 삼락동마을회관내,간이운동장,,054-420-8008,경상북도,김천시,,,
 지곡마을 체육시설,간이운동장,전라남도 광양시 봉강면 지곡리 지실길 11,797-3911,전라남도,광양시,,127.5793647,34.99479494
(외립석입구),간이운동장,,054-420-8033,경상북도,김천시,,,
(덕전3리) 세송,간이운동장,경상북도 김천시 대항면 덕전3길 82,054-420-8018,경상북도,김천시,덕전리,128.0409498,36.12532065
(박리마을) 신왕1리,간이운동장,,054-420-8091,경상북도,김천시,,,
(인의1리회관옆),간이운동장,,054-420-8034,경상북도,김천시,,,
(자산경로당),간이운동장,경상북도 김천시 자산3길 16 (성내동),054-420-8077,경상북도,김천시,성내동,128.1220924,36.1207712
(합천마을) 향천2리,간이운동장,경상북도 김천시 대항면 향천리  838,054-420-8025,경상북도,김천시,향천리,128.0221615,36.12495428
감문중학교,간이운동장,,054-420-7934,경상북도,김천시,,,
개나리 공원 야외운동기구,간이운동장,경상북도 문경시 시청2길 21 (모전동),,경상북도,문경시,모전동,128.1879631,36.58696965
광천리  1168-2번지,간이운동장,,054-420-7928,경상북도,김천시,,,
구야리 977 (166-11 맞은편),간이운동장,경상북도 김천시 감문면 구야1길 17-4,054-420-7936,경상북도,김천시,구야리,128.1588134,36.18807013
구천면 미천2리 동네체육시설,간이운동장,경상북도 의성군 구천면 미천리  9,054-830-5244,경상북도,의성군,,128.4543942,36.36213142
국당마을 소공원,간이운동장,경상북도 경주시 황남동 483-3,054-779-6967,경상북도,경주시,,129.2105285,35.82704596
국사2리(국사길 63 소공원),간이운동장,,054-420-7928,경상북도,김천시,,,
금라리 마을회관앞,간이운동장,,054-420-7935,경상북도,김천시,,,
금서면 매촌마을 운동기구-3,간이운동장,경남 산청군 금서면 매촌리 710-4,,경상남도,산청군,매촌리,127.8627388,35.41751469
"남곡리  718,719번지",간이운동장,경상북도 김천시 감문면 남곡리길 349-7,054-420-7928,경상북도,김천시,남곡리,128.1443526,36.22347532
남전2리 마을회관앞,간이운동장,,054-420-7958,경상북도,김천시,,,
덕전4길 12,간이운동장,,054-420-7928,경상북도,김천시,,,
덕전4길 157-16 (덕전2리),간이운동장,,054-420-7928,경상북도,김천시,,,
덕전리 1017-1 (덕전3리) 세송,간이운동장,,054-420-7928,경상북도,김천시,,,
덕촌2리  소공원,간이운동장,,054-420-7928,경상북도,김천시,,,
도평1리 마을쉼터 (도로옆),간이운동장,,054-420-7949,경상북도,김천시,,,
모전1-1공원 야외운동기구,간이운동장,경북 문경시 모전동 1267,,경상북도,문경시,모전동,128.1904256,36.58404718
봉산3리,간이운동장,,054-420-8049,경상북도,김천시,,,
